rendered_template_1,rendered_template_2,i18n
AF,__base__,1
AN,-,1
AR,__base__,1
BH,-,0
BW,__base__,1
DT,__base__,1
DT,__base__,1
GP,__base__,0
HH,-,0
HM,__base__,0
HS,-,1
JH,__base__,1
JJ,__base__,1
KB,__base__,1
KF,__base__,1
KJ,__base__,1
MH,__base__,1
MX,__base__,1
PC,__base__,0
PH,__base__,1
SF,-,0
SQ,__base__,0
TM,-,1
UH,-,0
WP,__base__,1
WW,-,0
